SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532145,H.S.(I) LTD.,X ,Q,8.55,9.79,8.55,8.61,8.60,9.39,23,4953,43653.00,
532149,BNK OF INDIA,A ,Q,95.55,102.50,95.20,102.00,102.00,97.45,3994,1068877,106270983.00,
532150,INDRAPRAST  ,B ,Q,47.60,47.60,46.40,46.75,46.75,47.55,189,27151,1273381.00,
532155,GAIL (I) LTD,A ,Q,440.15,445.00,413.25,424.75,424.75,438.25,5374,391039,164122793.00,
532156,VAIBHAVGBL  ,B ,Q,675.50,690.00,668.00,681.35,680.00,656.65,113,2863,1934919.00,
532162,JK PAPER    ,B ,Q,134.30,139.45,132.75,136.95,136.95,133.65,628,42308,5747187.00,
532163,SAREGAMA (I),B ,Q,665.00,681.00,650.00,663.10,662.00,656.45,484,12544,8273463.00,
532172,SPHEREGSL   ,B ,Q,31.50,32.25,29.65,31.60,31.60,32.05,91,39457,1228287.00,
532173,CYBERTECH   ,B ,Q,57.70,60.05,55.15,56.35,57.60,58.00,197,57955,3327097.00,
532174,ICICI BANK  ,A ,Q,275.55,282.80,275.55,281.45,281.45,275.80,9265,2856987,796631916.00,
532175,CYIENT      ,A ,Q,660.00,670.00,646.25,665.95,670.00,659.85,734,512509,333705451.00,
532178,ENGINRS.(I) ,A ,Q,151.00,158.85,148.90,157.10,157.10,150.60,1346,118021,18181769.00,
532179,CORPN.BANK  ,A ,Q,29.85,30.55,29.25,30.20,30.20,29.55,475,115704,3465104.00,
532180,DHANALAK.BNK,B ,Q,21.00,21.60,20.70,20.95,20.95,21.35,286,233009,4894615.00,
532181,GUJ.MINERAL ,A ,Q,121.50,123.20,119.50,121.60,121.50,121.50,432,48859,5918851.00,
532183,GAYATRI SUGR,X ,Q,10.24,10.24,9.65,9.86,9.86,10.05,235,86706,867790.00,
532187,INDUSIND BNK,A ,Q,1758.00,1795.00,1749.80,1760.40,1760.40,1750.20,2217,40842,71948480.00,
532189,INDIA TOURIS,B ,Q,446.20,493.00,444.75,479.15,479.15,439.75,1778,43221,20355643.00,
532209,J & K BANK  ,A ,Q,58.50,59.40,57.00,58.10,58.10,58.10,908,485824,28363521.00,
532210,CITY UNION  ,A ,Q,170.00,170.00,166.10,168.30,168.30,169.70,246,27997,4708851.00,
532212,ARCHIES LTD ,B ,Q,30.70,34.20,30.55,33.80,33.80,30.60,320,52534,1703437.00,
532215,AXIS BANK   ,A ,Q,500.00,509.25,495.35,507.50,507.50,501.00,3726,364398,183123563.00,
532218,SOUTH IND.BK,A ,Q,22.60,23.35,22.20,23.30,23.30,22.60,1135,5909780,135078790.00,
532219,ENERGY DEV. ,B ,Q,18.00,18.35,17.10,17.40,17.30,17.95,45,20485,364661.00,
532221,SONATA SOFT.,B ,Q,305.00,314.00,295.00,311.85,311.00,297.55,823,43736,13464839.00,
532230,BENGAL TEA &,X ,Q,52.00,56.05,51.20,51.85,51.20,53.40,8,614,32698.00,
532234,NAT.ALUM    ,A ,Q,66.45,67.80,65.20,67.35,67.35,66.45,2147,574134,38144630.00,
532240,INDIA NIPPON,B ,Q,463.40,489.00,440.00,482.40,482.40,459.25,161,3180,1452819.00,
532254,POLARIS     ,A ,Q,471.00,472.50,467.45,468.70,468.00,470.65,135,12253,5749134.00,
532256,NALWA SONS  ,B ,Q,1059.05,1077.00,1059.05,1077.00,1077.00,1083.40,3,41,43600.00,
532259,APAR INDUS. ,B ,Q,733.00,733.00,710.00,715.20,715.20,733.00,93,574,411565.00,
532268,ACCELYA     ,B ,Q,1334.30,1334.30,1285.65,1307.40,1320.00,1318.40,69,1448,1894533.00,
532271,CYBERMATE   ,X ,Q,2.70,2.70,2.40,2.51,2.55,2.50,91,143044,354045.00,
532275,LANDMARC LEI,XT,Q,0.53,0.53,0.51,0.52,0.53,0.53,7,6700,3491.00,
532276,SYNDICATE BN,A ,Q,53.80,56.30,53.30,56.00,56.00,53.80,1800,566068,31153264.00,
532281,HCL TECHNO  ,A ,Q,965.00,969.90,947.00,963.05,963.05,956.50,1390,40063,38522682.00,
532282,CASTEXTECH  ,T ,Q,3.90,3.90,3.67,3.67,3.67,3.86,163,298868,1107819.00,
532284,TCFC FINANCE,X ,Q,31.00,33.50,29.10,33.00,33.00,33.50,23,2296,75810.00,
532285,GEOJITFSL   ,B ,Q,91.50,92.60,88.75,92.35,92.20,92.70,255,63436,5780856.00,
532286,JINDAL STE  ,A ,Q,216.00,219.70,210.05,216.70,216.70,213.70,4374,832121,178555715.00,
532290,BLB LTD.    ,B ,Q,5.13,5.50,5.13,5.26,5.13,5.40,17,4900,25699.00,
532296,GLENMARK PHA,A ,Q,531.00,543.40,524.65,539.30,539.30,535.90,894,41767,22273171.00,
532300,WOCKHARDT   ,A ,Q,710.40,721.00,704.55,716.50,716.50,710.40,2256,107035,76228155.00,
532301,TATA COFFEE ,B ,Q,114.95,114.95,112.30,112.95,112.95,115.20,1061,111638,12642293.00,
532305,IND-SWIFT LA,B ,Q,55.30,56.95,54.30,55.75,56.05,55.90,29,4280,236148.00,
